"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"USP20","USP20",0.181058249077278,7.67822296930346,0.0474621690787211,0.0813260860788115,"cid1 - cid0"
"SHARPIN","SHARPIN",-0.128350275316826,8.44307758623877,0.0475103791457487,0.0813931160527914,"cid1 - cid0"
"FICD","FICD",0.121397008449645,8.61469630300741,0.0475733059962466,0.0814853278332497,"cid1 - cid0"
"BAZ1A","BAZ1A",0.147004736853958,9.97741293245269,0.0476030335264834,0.0815206501841251,"cid1 - cid0"
"TGOLN2","TGOLN2",0.246269877023368,7.79039146903734,0.0477715934108868,0.081793665291197,"cid1 - cid0"
"ERI3","ERI3",-0.121536124995714,8.01123650699386,0.047819685152575,0.0818603520403449,"cid1 - cid0"
"TIRAP","TIRAP",-0.102255116016042,7.32161067388003,0.047982693211691,0.0821236957224755,"cid1 - cid0"
"ICE1","ICE1",0.103905010925942,8.85118891077213,0.0480187773170052,0.0821697464295006,"cid1 - cid0"
"CFLAR","CFLAR",0.176363708300913,10.0773116593097,0.0480764801775583,0.0822527664876132,"cid1 - cid0"
"CDIP1","CDIP1",0.329350296275532,6.44261096209427,0.0480907356215661,0.0822614359992131,"cid1 - cid0"
"JAK1","JAK1",0.114083351763641,10.2386486324535,0.0481925788562545,0.0824198965616134,"cid1 - cid0"
"WDR75","WDR75",0.111739782907639,8.8456975506018,0.0482594615844769,0.0825178025259145,"cid1 - cid0"
"ARTN","ARTN",-0.147210066178367,7.40733271156537,0.0482682600053853,0.0825178025259145,"cid1 - cid0"
"NASP","NASP",-0.138582121838958,7.717133057214,0.0482799910991918,0.0825221000975685,"cid1 - cid0"
"BPNT1","BPNT1",-0.381756240398025,7.60799999559036,0.0483120819753005,0.0825537793212758,"cid1 - cid0"
"PIN1","PIN1",-0.12542874342857,8.3777012179469,0.0483240146822575,0.0825537793212758,"cid1 - cid0"
"ATP5L","ATP5L",-0.107438662370994,12.0737306687148,0.0483261875821296,0.0825537793212758,"cid1 - cid0"
"CEP55","CEP55",-0.199184291444892,9.02250638530162,0.0484409274660861,0.0827339991613637,"cid1 - cid0"
"FOXO4","FOXO4",-0.227042471788316,7.06271632167938,0.0484561839485516,0.0827442713887818,"cid1 - cid0"
"ACOX2","ACOX2",-0.181937929899246,7.26284454885454,0.0485192167982689,0.0828361075505152,"cid1 - cid0"
"HNRNPDL","HNRNPDL",0.146214851425924,9.75016414296795,0.0485814582641712,0.0829265578339609,"cid1 - cid0"
"TMEM133","TMEM133",-0.135936789732485,7.63570574512242,0.0486394523882931,0.0829949128723522,"cid1 - cid0"
"HRH3","HRH3",-0.24530481673883,7.29155953987186,0.0486483442889103,0.0829949128723522,"cid1 - cid0"
"OTULIN","OTULIN",0.258117603795839,7.06324200420935,0.0486493133870328,0.0829949128723522,"cid1 - cid0"
